CPU Active: 61.03% | Idle: 38.97%
CPU Active: 46.20% | Idle: 53.80%
CPU Active: 43.22% | Idle: 56.78%
CPU Active: 52.17% | Idle: 47.83%
CPU Active: 38.90% | Idle: 61.10%
CPU Active: 39.09% | Idle: 60.91%
CPU Active: 38.33% | Idle: 61.67%
CPU Active: 42.36% | Idle: 57.64%
CPU Active: 39.16% | Idle: 60.84%
CPU Active: 45.38% | Idle: 54.62%
CPU Active: 36.08% | Idle: 63.92%
CPU Active: 36.58% | Idle: 63.42%
CPU Active: 38.11% | Idle: 61.89%
CPU Active: 46.97% | Idle: 53.03%
CPU Active: 38.08% | Idle: 61.92%
CPU Active: 29.63% | Idle: 70.37%
CPU Active: 35.44% | Idle: 64.56%
CPU Active: 36.50% | Idle: 63.50%
CPU Active: 44.30% | Idle: 55.70%
CPU Active: 39.92% | Idle: 60.08%
CPU Active: 29.81% | Idle: 70.19%
CPU Active: 42.56% | Idle: 57.44%
CPU Active: 36.63% | Idle: 63.37%
CPU Active: 30.77% | Idle: 69.23%
CPU Active: 43.66% | Idle: 56.34%
CPU Active: 38.40% | Idle: 61.60%
CPU Active: 38.80% | Idle: 61.20%
CPU Active: 32.48% | Idle: 67.52%
CPU Active: 39.08% | Idle: 60.92%
CPU Active: 35.06% | Idle: 64.94%
CPU Active: 45.65% | Idle: 54.35%
CPU Active: 31.53% | Idle: 68.47%
CPU Active: 29.60% | Idle: 70.40%
CPU Active: 36.89% | Idle: 63.11%
CPU Active: 32.46% | Idle: 67.54%
CPU Active: 32.74% | Idle: 67.26%
CPU Active: 35.65% | Idle: 64.35%
CPU Active: 37.23% | Idle: 62.77%
CPU Active: 34.15% | Idle: 65.85%
CPU Active: 32.99% | Idle: 67.01%
CPU Active: 36.22% | Idle: 63.78%
CPU Active: 29.85% | Idle: 70.15%
CPU Active: 32.72% | Idle: 67.28%
CPU Active: 33.02% | Idle: 66.98%
CPU Active: 28.83% | Idle: 71.17%
CPU Active: 36.74% | Idle: 63.26%
CPU Active: 46.28% | Idle: 53.72%
CPU Active: 28.95% | Idle: 71.05%
CPU Active: 34.71% | Idle: 65.29%
CPU Active: 27.52% | Idle: 72.48%
CPU Active: 32.48% | Idle: 67.52%
CPU Active: 35.69% | Idle: 64.31%
CPU Active: 27.54% | Idle: 72.46%
CPU Active: 33.08% | Idle: 66.92%
CPU Active: 27.00% | Idle: 73.00%
CPU Active: 31.31% | Idle: 68.69%
CPU Active: 31.69% | Idle: 68.31%
CPU Active: 36.66% | Idle: 63.34%
CPU Active: 37.75% | Idle: 62.25%
CPU Active: 37.59% | Idle: 62.41%
CPU Active: 27.19% | Idle: 72.81%
CPU Active: 28.19% | Idle: 71.81%
CPU Active: 36.40% | Idle: 63.60%
CPU Active: 28.34% | Idle: 71.66%
CPU Active: 31.91% | Idle: 68.09%
CPU Active: 28.24% | Idle: 71.76%
CPU Active: 34.77% | Idle: 65.23%
CPU Active: 39.19% | Idle: 60.81%
CPU Active: 34.38% | Idle: 65.62%
CPU Active: 27.02% | Idle: 72.98%
CPU Active: 27.87% | Idle: 72.13%
CPU Active: 34.57% | Idle: 65.43%
CPU Active: 35.32% | Idle: 64.68%
CPU Active: 38.89% | Idle: 61.11%
CPU Active: 29.44% | Idle: 70.56%
CPU Active: 28.39% | Idle: 71.61%
CPU Active: 35.12% | Idle: 64.88%
CPU Active: 37.07% | Idle: 62.93%
CPU Active: 40.11% | Idle: 59.89%
CPU Active: 28.67% | Idle: 71.33%
CPU Active: 31.59% | Idle: 68.41%
CPU Active: 37.78% | Idle: 62.22%
CPU Active: 28.58% | Idle: 71.42%
CPU Active: 43.38% | Idle: 56.62%
CPU Active: 30.44% | Idle: 69.56%
CPU Active: 27.26% | Idle: 72.74%
CPU Active: 37.45% | Idle: 62.55%
CPU Active: 29.16% | Idle: 70.84%
CPU Active: 36.94% | Idle: 63.06%
CPU Active: 35.28% | Idle: 64.72%
CPU Active: 32.20% | Idle: 67.80%
CPU Active: 63.38% | Idle: 36.62%
CPU Active: 36.69% | Idle: 63.31%
CPU Active: 43.26% | Idle: 56.74%
CPU Active: 41.14% | Idle: 58.86%
CPU Active: 37.46% | Idle: 62.54%
CPU Active: 33.60% | Idle: 66.40%
CPU Active: 35.31% | Idle: 64.69%
CPU Active: 30.45% | Idle: 69.55%
CPU Active: 40.51% | Idle: 59.49%
CPU Active: 35.79% | Idle: 64.21%
CPU Active: 30.53% | Idle: 69.47%
CPU Active: 35.54% | Idle: 64.46%
CPU Active: 31.31% | Idle: 68.69%
CPU Active: 37.82% | Idle: 62.18%
CPU Active: 32.64% | Idle: 67.36%
CPU Active: 30.75% | Idle: 69.25%
CPU Active: 36.23% | Idle: 63.77%
CPU Active: 32.45% | Idle: 67.55%
CPU Active: 34.26% | Idle: 65.74%
CPU Active: 38.34% | Idle: 61.66%
CPU Active: 28.49% | Idle: 71.51%
CPU Active: 32.67% | Idle: 67.33%
CPU Active: 25.93% | Idle: 74.07%
CPU Active: 36.32% | Idle: 63.68%
CPU Active: 43.17% | Idle: 56.83%
CPU Active: 33.53% | Idle: 66.47%
CPU Active: 37.07% | Idle: 62.93%
CPU Active: 35.11% | Idle: 64.89%
CPU Active: 28.58% | Idle: 71.42%
CPU Active: 36.54% | Idle: 63.46%
CPU Active: 30.37% | Idle: 69.63%
CPU Active: 33.71% | Idle: 66.29%
CPU Active: 26.87% | Idle: 73.13%
CPU Active: 27.79% | Idle: 72.21%
CPU Active: 39.60% | Idle: 60.40%
CPU Active: 38.54% | Idle: 61.46%
CPU Active: 27.24% | Idle: 72.76%
CPU Active: 32.05% | Idle: 67.95%
CPU Active: 27.13% | Idle: 72.87%
CPU Active: 25.79% | Idle: 74.21%
CPU Active: 37.95% | Idle: 62.05%
CPU Active: 26.38% | Idle: 73.62%
CPU Active: 31.22% | Idle: 68.78%
CPU Active: 26.21% | Idle: 73.79%
CPU Active: 24.97% | Idle: 75.03%
CPU Active: 36.21% | Idle: 63.79%
CPU Active: 27.68% | Idle: 72.32%
CPU Active: 26.70% | Idle: 73.30%
CPU Active: 31.96% | Idle: 68.04%
CPU Active: 29.09% | Idle: 70.91%
CPU Active: 32.60% | Idle: 67.40%
CPU Active: 33.07% | Idle: 66.93%
CPU Active: 27.62% | Idle: 72.38%
CPU Active: 32.11% | Idle: 67.89%
CPU Active: 27.90% | Idle: 72.10%
CPU Active: 27.52% | Idle: 72.48%
CPU Active: 36.46% | Idle: 63.54%
CPU Active: 27.20% | Idle: 72.80%
CPU Active: 27.29% | Idle: 72.71%
CPU Active: 32.57% | Idle: 67.43%
CPU Active: 25.60% | Idle: 74.40%
CPU Active: 36.75% | Idle: 63.25%
CPU Active: 27.97% | Idle: 72.03%
CPU Active: 27.48% | Idle: 72.52%
CPU Active: 34.02% | Idle: 65.98%
CPU Active: 27.26% | Idle: 72.74%
CPU Active: 25.66% | Idle: 74.34%
CPU Active: 38.31% | Idle: 61.69%
CPU Active: 26.69% | Idle: 73.31%
CPU Active: 26.02% | Idle: 73.98%
CPU Active: 31.72% | Idle: 68.28%
CPU Active: 25.06% | Idle: 74.94%
CPU Active: 37.51% | Idle: 62.49%
CPU Active: 26.66% | Idle: 73.34%
CPU Active: 27.12% | Idle: 72.88%
